jobTitle,companyName,location,datePosted,appStatus,description,seniorityLevel,employmentType,jobFunction,industries,Source,Date,Company,Link
Sales Executive,Irys Chem,"Singapore, Singapore",4 weeks ago,Be among the first 25 applicants,"Do you believe that all restaurants should be safe and clean for their customers? Do you want to grow with the company together? Do you want to learn sales?  If so I might want to meet you.  I am looking for a Sales assistance, who will help me to find potential clients (our clients are restaurants).  You don't have to be in the office all the time, you will need to walk around and meet people and bring in new clients so we can serve them to our best ability.  If you do not know sales and you do not have experience, it is ok. We will teach you and guide you.  It is not easy and it is going to be challenging. However, if you are willing to learn new skills and have the right attitude you will be good.  Our clients are restaurants so you will help them to succeed in a market by helping to increase the cleanness level and make them safe for the guest.  You can apply for a part-time or full-time job. For full-time will be different salary and schedule.",,Part-time,,,2021_10_10_12_31_Sales_dataFile,,,
Sales Executive,Successpedia Asia,"Singapore, Singapore",3 weeks ago,Be among the first 25 applicants,"- Builds business by identifying and selling prospects; maintaining relationships with clients. - Identifies business opportunities by identifying prospects and evaluating their position in the industry; researching and analyzing sales options. - Sells products by establishing contact and developing relationships with prospects; recommending solutions. - Maintains relationships with clients by providing support, information, and guidance; researching and recommending new opportunities; recommending profit and service improvements. - Identifies product improvements or new products by remaining current on industry trends, market activities, and competitors. - Maintains quality service by establishing and enforcing organization standards. - Contributes to team effort by accomplishing related results as needed.",,Full-time,,,2021_10_10_12_31_Sales_dataFile,,,
Inside Sales Associate (Healthcare) - New Patient Conversion,Brave Health,"Orlando, FL",2 weeks ago,Be among the first 25 applicants,"About Us  We are a post Series B, high growth, mission-driven venture backed growth company. Our mission is to deliver high-quality, affordable tele-behavioral mental health and medication assisted support, for traditionally underserved patients, many of whom have Medicaid. We are a diverse group of entrepreneurs, clinicians, providers, and healthcare leaders passionate about changing the way behavioral health is delivered in the US. We are actively seeing (via telehealth) patients in Florida, New York, Georgia, North Carolina, and Texas, we are well into the process of beginning to do business in five more states, and will continue to expand to many additional states.  Job Summary  The Inside Sales Associate - New Patient Conversion is responsible for connecting individual patients with care at Brave through close management of the patient lead through a pipeline until connected to care. Prospective patients come to Brave from many different referral sources, with many different care needs, and many other factors at play in their lives. It's the role of the New Patient Support Associate to meet patients where they are, and support their success by providing education about our programs, diligent follow up, scheduling and tech support, and more.  Day to day responsibilities include conducting a consistently high volume of phone and SMS outreach to prospective patients, scheduling new patients for intake, and coordinating other onboarding activities to connect patients with care. The Associate may manage both first touches with brand-new referrals, which emphasize speed to outreach, as well as our full contact strategy, which requires tracking a prospect over time. As the company is in growth mode, there is a lot of room to test new tactics and try new approaches. Associates are encouraged to share insights and trends, and to innovate within our workflows to get the best possible results.  The ideal candidate has strong pipeline management skills, is used to tracking and updating leads in CRM (Salesforce), and has a proven track record of exceeding sales goals in a growth setting. They are highly motivated by performance. They have experience working with CRM, phone, and with scheduling/booking tools, or the equivalent types of systems. They get satisfaction out of improving on processes, and are collaborative. Great written and verbal communication skills are a must. So is the ability to navigate between multiple systems and use frameworks for fast decision making.  Competencies:  Drive for Results - Advanced  Customer Focus - Intermediate  Sizing up People - Intermediate  Perseverance - Intermediate  Self-management - Intermediate  Learning on the fly - Intermediate",Entry level,Full-time,Sales and Business Development,"Mental Health Care, Health, Wellness and Fitness, and Hospital & Health Care",2021_10_09_09_30_Sales_dataFile,,,
Sales Intern,Gravitational Marketing,"Orlando, FL",3 weeks ago,Be among the first 25 applicants,"Do you want to gain experience with a fun and energetic advertising agency?  Do you want to be part of an organization that will help you reach your full potential?  Do you want to gain experience with a company that cares about your growth, success and fulfillment in life?  About Gravitational Marketing: We're ranked as an outstanding small business by the Orlando Business Journal We're one of America's Fastest Growing Companies according to Inc. Magazine Voted one of the ""Coolest Office Spaces"" in Central Florida The company was founded and is led by two UCF grads Our leaders have been named two of Orlando's ""40 Under 40"" We have an exciting, vibrant, creative work environment We support a positive, success-minded culture and believe life and business should be ESP -- Enjoyable, Simple and Prosperous Culture and Employee satisfaction is a primary focus here! Be part of a team that makes a difference. Click this link http://www.richdealers.com/office-tour/ to see what it's like to work at Gravitational Marketing!  We're expanding our marketing team and are looking for an intern who wants an exciting opportunity to join a growing, fun and market-leading advertising agency. This is a PAID INTERNSHIP and is perfect for Marketing, Advertising or Communication majors. The expected term of this internship is 13 weeks.  As a Sales Intern with Gravitational Marketing you will: Do real work that makes a difference and will enhance your development Have daily interaction with senior management team members Have the ability to work up to 20 hours per week with us Be challenged to expand your comfort zone This Energetic, Positive and Self-Motivated Star Will Possess The Following Background, Experience, Skills and Attributes: Excellent verbal and written communication skills Highly organized Sensitive to deadlines Detail oriented (you need to check your own work!) Strong communication skills Interesting (we like people who have passion)  A Sales Intern will be expected to: Set appointments with leads Be computer savvy Be great to speak to over the phone Complete administrator tasks Help Sales Team on fronting side We believe that work and life should be Enjoyable, Simple and Prosperous. If you believe in this too, we want to hear from you.  To be considered for this PAID INTERNSHIP, please respond to this posting with your resume and a brief introduction.  Powered by JazzHR  6BnU93",Internship,Internship,Sales and Business Development,"Marketing and Advertising, Automotive, and Internet",2021_10_09_06_09_Sales_dataFile,,,
"Sales Specialist / Biz Dev (Robotics,IOT, Smart Vending,Tech)",Konbini Technologies,"Singapore, Singapore",,Be among the first 25 applicants,"Konbini builds cutting-edge technology systems incorporating Robotics, Smart IoT-powered vending machines, Automated lockers, RFID-powered self-checkout & asset management systems,powered by our KonbiCloud remote management software.  Our solutions focus on automating Institutional Food Service + Corporate & Industrial Asset Management. Our company CEO was recently shortlisted for this year's E&Y Entrepreneur of the Year (Singapore).  Our clients include the Army, Ministry of Home Affairs, Singapore Airlines, Unilever, Lenovo, SATS, Pfizer, CP Group,INSEAD, Sengkang Hospital, TTSH, Sodexo, Neo Group, Wok People, 800Super, Polar Puffs, together with a mix of international clients spanning USA,UK, Saudi Arabia, Switzerland and Thailand.  We are a team of driven, hungry engineers, software developers, spread across Singapore, Vietnam and Malaysia, with an impressive track record of projects and clients across the region, but we've always taken a behind-the-scenes approach towards marketing ourselves.   We are now searching for a hungry, aggressive sales leader to let the world know about our achievements and products, and help our company scale our solutions.   We are looking for a strong, confident Sales Leader to work with the business team to strategise and execute on sales outreach and business development.   And in the long run, to develop the sales team and overall sales strategy for the company, and become a leader within our company.  We accept people from different industries- what's most important is the hunger to learn and promote our high-tech solutions.  THE AMMUNITION WE PROVIDE FOR YOU TO ACHIEVE YOUR GOALS: 1. Satisfied Enterprise, Institutional and Government level clients 2. Track record of projects across a wide range of industries 3. Cutting-edge technology solutions developed by our own team 4. Track record of existing successful project deployments  YOUR RESPONSIBILITIES: Work with Business team on strategising necessary sales & marketing materials and campaigns Handle prospects and close sales through meetings, presentations and follow ups  Set up meetings with potential clients, partners and listen to their wishes and concerns Prepare and deliver presentations & demonstrations on our hardware/software systems Prepare sales proposals and quotations Constant follow up with leads through calls and emails to ensure project closing Negotiate & Close deals in collaboration with our Business team Propose ideas and strategies for our Business and Marketing teams to assist you in generating leads and closing deals  YOUR CHARACTER: Self-starter, able to research on industry players and outreach to them Thick-skinned, without any fear of making cold calls or knocking on doors Competitive and aggressive sales nature Professional attitude and appearance Strong understanding of marketing and negotiating techniques Fast learner and great passion for sales Self-motivated with a results-driven approach Aptitude in delivering attractive presentations  BENEFITS: Negotiable compensation and commission Significant career growth opportunities- we award equity to core members of our team Opportunity for expansion globally- we already have existing global clients (although our current focus for these 2 years would still be Singapore due to travel and logistics issues caused by COVID)",,Full-time,,,2021_10_10_12_31_Sales_dataFile,,,
Sales Assistant,,"Singapore, Singapore",3 weeks ago,Be among the first 25 applicants,,,Full-time,,,2021_10_10_12_31_Sales_dataFile,,,
Sales and Business Development Manager - Florida,SOPHiA GENETICS,"Orlando, FL",3 weeks ago,Be among the first 25 applicants,"At SOPHiA GENETICS, our mission is to bring data analytics solutions to market and support healthcare professionals by maximizing the power of Data-Driven Medicine.   A true go-getter, you relish the opportunity to grow without limits.   As part of the sales team, you will be responsible for acquiring new accounts as well as managing existing ones within your territory. You will travel frequently across the US and to our US Headquarters in Boston as well as to Lausanne, Switzerland.   As an adaptive and persistent sales challenger, you have no problem navigating diverse teams within leading healthcare organizations in order to win opportunities and build long-term relationships with clients. You're the type of person who can talk to anyone, anywhere and in any situation. Of course, you will have plenty of support as well. Our team of technical specialists from all over the world will leverage our network within the clinical research field to help make sure you can achieve even the most ambitious goals.   Our focus is on building lasting partnerships. If you're the type of person who anticipates the customer's needs and takes pride in helping them provide better solutions to patients, this could be the role for you.   Spearhead the growth of the Data-Driven Medicine revolution and be a part of the future of sustainable healthcare.   Align the sales process to the customer's buying process from prospecton to close. Organize and prioritize prospects based on customer needs to go beyond transactional sales to become a true strategic partner. Communicate with clarity, purpose and emotion to build a genuine connection with prospects and customers. Advocate for your customers to ensure that they have everything they need.  Requirements:  2-3 years experience in a similar sales position A Bachelor degree in Sciences is a must, a Master or PhD will be an advantage. Experience selling in the genetics/genomics space. Excellent communication skills, including experience communicating complex scientific principles in simple terms. Previous experience working as part of a team to develop the company's customer base and provide a first-class experience to clients, preferably within the clinical, clinical research, biotechnology, or medical technology markets  Benefits:  A flexible, friendly and international working environment with a collaborative atmosphere An exciting company mission that brings together science and technology to directly impact the lives of patients with life threatening illness. A fast-growing company with plenty of opportunity for personal growth and development A hard technical challenge to solve with exciting modern technology - cloud computing, Big Data, DevOps, machine learning  Location: Home Office (Florida)   Start: ASAP (or as agreed)   Contract type: Permanent, Full-Time   Application process   If you think you fit this position, please send a CV and a cover letter. Please note that incomplete applications will not be considered.   After an initial screening process, candidates will be invited for remote interviews. Selected candidates will then be invited for personal interviews.",Mid-Senior level,Contract,Sales,"Information Technology and Services, Computer Software, and Biotechnology",2021_10_09_14_59_Sales_dataFile,,,
Oustside Sales / Business Development,Talent Hawk Recruiting,"Orlando, FL",,Be among the first 25 applicants,"Talent Hawk Recruiting is assisting a client with a search for a Business Developer/Sales professional. This unique role is an exciting opportunity for a talented Business Developer to showcase their skills to make a direct impact on the company and on their own financial security! Attractive base plus commission. On target performance results in earning $100K+ your first year and strong performers have doubled that their second year.  This is an exciting time to join us as we are ramping for growth. To be a strong candidate for this position, you must have: Bachelor's degree or equivalent work experience Experience managing multiple projects in a well established territory At least 3 years outside sales experience, with at least 1-2 of those years selling contract services (uniforms, coffee/break room focused sales, copiers, etc.) to businesses",Mid-Senior level,Full-time,Sales,Facilities Services and Business Supplies and Equipment,2021_10_09_14_59_Sales_dataFile,,,
Dermatology Sales Consultant,GSI,"Orlando, FL",3 weeks ago,25 applicants,"New launches and new way of doing business!  A trailblazing fast growing Dermatology speciality company is hiring a Pharmaceutical Sales Consultant in the selling RX Dermatological products, adding value for physician practices while improving patient outcomes and access.  Compensation: $85-100K Base; OTE $ 200K /Uncapped /750 Car Allowance /Benefits / Expense account / 2 week training (now virtual due to Covid)  Requirements: Bachelor's Degree Direct sales experience within Dermatology and or Business to Business Sales combined with RX Dermatology or B2B Aesthetics, or Capital Dermatology Sales experience A desire to be part of a fast-growing team with a collective vision to shake up industry to make medication more affordable and better health care for all! A Valid Driver's license",Mid-Senior level,Full-time,Sales and Business Development,Pharmaceuticals and Medical Devices,2021_10_09_14_59_Sales_dataFile,,,
Relationship Manager,KeyQuest Mortgage,"Singapore, Singapore",1 day ago,Be among the first 25 applicants,"The ideal candidate will be responsible for gaining a deep understanding of the clients' business objectives and challenges and creating strategic recommendations based off of this understanding. You will do so by building a strong relationship with our clients and analyzing our clients' data. Essentially, you will act as the main point of contact for our clients.   Responsibilities Dialogue with our clients to understand their business objectives and challenges Analyze clients' data and provide strategic recommendations to clients Present value-proposition to sales leads and current customers Prospect for new sales leads and close sales  Qualifications 4-6 years' of client relationship experience Ability to manage multiple projects and clients Strong communication and interpersonal skills",,Full-time,,,2021_10_10_12_31_Sales_dataFile,,,
Sales Executive,FindSGJobs.com,"Singapore, Singapore",1 week ago,Be among the first 25 applicants,"The candidate for this position will excel at creating and closing new opportunities. By using a consultative approach to selling, this person will use their expertise to identify and qualify leads, leading to sales opportunities with both new and existing customers.   Responsibilities Meet and exceed sales targets Successfully create business from new and existing customer accounts Manage complex negotiations with senior-level executives Build rapport and establish long term relationships with customers  Qualifications Have at least 2 years' quota carrying sales experience Strong written and verbal communication skills",,Full-time,,,2021_10_10_12_31_Sales_dataFile,,,
Sales Rep,Advocate Aurora Health,"Oshkosh, WI",4 weeks ago,Be among the first 25 applicants,"Achieves sales goals and executes sales plans to generate volume and revenue. Seeks to introduce and promote the organization's products and services to prospective clients, and works to expand sales and maintain relationships with existing clients. Performs the complete sales process: prospecting, developing the proposal, closing the sale with clients, and maintaining client relationships. Works to grow assigned service or program market share and enhance Aurora's image in highlighted markets or with specific employers.  Attracts new business through cold calls, referrals, inquiries, incoming calls, or trade shows. Follows up on interest generated from prospective clients within defined territories. Participates in the development of territories, which includes the following: developing prospect databases, developing pricing models, communicating to prospects and clients, and participating in the implementation of new products and services.  Collaborates with internal stakeholders and offers input on planning, developing and implementing strategies that create a positive return on investment throughout defined market areas. Develops proposals specific to clients needs including the cost components and analysis of the technical requirements of the client. Coordinates the appropriate paperwork and communication for new and extended contracts.  Manages the growth and maintenance of existing accounts. Keep clients informed of all technology changes and improvements. Investigates and corrects all issues with accounts pertaining to services, products, and operational issues. Participates in the development of marketing resources including: folders and inserts, brochures, flyers, web site materials, etc. Contributes to the development of other sales materials.  Scheduled Hours  M- F 8:00 - 5:00  Licenses & Certifications  None Required.  Degrees  Bachelor's Degree (or equivalent knowledge) in Marketing or related field.  Required Functional Experience  Typically requires 3 years of experience in sales that includes experiences in developing client relationships, implementing business and sales/marketing plans, and product promotion.  Knowledge, Skills & Abilities  Excellent consultative and problem solving skills.Excellent sales related skills such as: executing sales plans, relationship building, product promotion, achieving goals/targets and a demonstrated ability to close sales.Excellent interpersonal and communication skills, ability to effectively deliver professional and engaging presentations for a variety of audiences.Proficient in the use of Microsoft Office Suite or similar products, and electronic mail.Excellent organization and prioritization skills, ability to effectively manage multiple demands.",Entry level,Full-time,Sales and Business Development,"Financial Services, Health, Wellness and Fitness, and Hospital & Health Care",2021_10_09_09_30_Sales_dataFile,,,
Sales and Operations Trainee,Viking Electric,"Oshkosh, WI",4 days ago,Be among the first 25 applicants,"Viking Electric  Sales & Operations Trainee  (Electrical Distribution Trainee)  Oshkosh, Wisconsin  Viking Electric has an awesome opportunity to start a rewarding career in the Electrical Distribution Industry as a Sales & Operations Trainee.  This position is responsible for learning our business from the ground up and understanding Viking Electric's value proposition in preparation for a future career.  The duties and responsibilities of this position include Learn and understand the systems and programs necessary to provide high service levels to our customers and to maintain the operation of the Viking location and its inventory. Gain product and application knowledge of materials sold by Viking while working at the City Desk, utilizing individual training from location manager and co-workers. Work with location account managers and/or account reps to meet their customers'' needs and providing back-up responsibilities to sales associates, as necessary. Maximize sales and profitability by knowing the marketplace, competition, understanding customers'' needs and up-selling, while working closely with the Marketing & Materials group. Provide support to the store/operations manager in the operation of the location. Receive and stock material on shelves, maintain showroom and warehouse areas to provide a clean and safe environment to shop and work in. Execute an ongoing professional training plan by actively participating in all job related and company training, informational seminars, business meetings, and job shadowing. Progress through trainee program by following the training template and meeting regularly with an assigned Viking Electric mentor. Strong math aptitude, organizational, time management and interpersonal skills. Excellent verbal & written communication-plus the ability to create, compose and edit written documentation. Strong computer/technology skills including Microsoft Office, Microsoft Teams, RF Technology and Viking's ERP system. Good understanding of market, competitors, products, and services. Solid selling skills and the ability to work independently. Basic understanding of financial information and effective negotiating skills. Must be self-directed and able to prioritize your day. must have a valid driver's license and be able to travel to other Viking Electric locations Bachelor's or Associate's degree in business related field is preferred. Past sales/customer service experience preferred Experience in a warehouse and/or operations setting preferred Viking is ready to train on all electrical product knowledge Benefits Complete insurance coverage that includes medical, dental, vision and life insurance, Flexible Spending Accounts, and wellness programs. 401(k) with company match Paid holidays and generous paid time off. Tuition reimbursement Employee Incentives Uniform provided Safety Shoes reimbursement Opportunities for internal employment growth On the job training and e-learning courses Viking Electric is a wholesale electrical distributor and solutions provider with 23 locations in Minnesota, Wisconsin, and Chicago, Ill. The company was founded in 1964, in St. Paul, Minnesota to serve the needs of the electrical industry. Viking Electric serves residential and commercial electrical contractors, industrial, tool, and related markets. The company stocks more than 30,000 products from 400 manufacturers including electrical supplies, lighting, power tools, hand tools, wire and cable, automation, data com, switchgear, and more. Viking Electric is a Sonepar Company. vikingelectric.com  Viking Electric is an M/F/Disabled and Vet EEO/AA employer",Internship,Full-time,Sales and Business Development,Wholesale,2021_10_09_06_09_Sales_dataFile,,,
"Head of Business Development and Sales, Esports",MOONTON GAMES,"Singapore, Singapore",4 weeks ago,Be among the first 25 applicants,"As the Head of BD and Sales, Esports, you will drive new business opportunities with strategic partners and brand partners across our owned and operated esports properties in Southeast Asia and Globally . You will build valuable alliances and drive incremental revenue across esports, and co-marketing opportunities. As a member of the SEA leadership team, you will drive cohesion across our markets and act as a sounding board for all markets into the efficacy and potential of new business opportunities for MOONTON Esports.  Responsibilities Based in Singapore, you will join an internationally and culturally diverse team of professionals that share our goal of reinforcing and building on MOONTON Esports our market position and growth:  Lead a team of Business Development and Partnership Management professionals to achieve both MOONTON and partner objectives Drive the commercial and sponsorship sales funnel and pipeline, including sourcing new business, negotiating terms, executing contracts, and overseeing fulfillment of obligations. Produce MOONTON Esports regional and global sponsorship marketing and sales proposals and subsequent go-to-market strategies Collaborate across esports teams to identify new business opportunities, technologies, and assets to build unique and valuable opportunities for partner integration Identify opportunities to bundle MOONTON Esports properties together for higher impact Oversee partnership management across both sports, ensuring S-tier collaboration with partners and industry-leading activations Maintain a deep and current understanding of esports, sports and entertainment industries  Required Qualifications 6-8+ years of experience in partnerships or business development, successfully structuring, negotiating and closing deals and owning projects from inception through launch and ongoing execution You have experience working with partners, both internal and external, at all levels You have experience leading a team Have an existing extensive network of brands and advertisers across SEA Comfortable with ambiguity; you can effectively shift gears quickly and comfortably, decide and act without having the complete picture, and comfortably handle uncertainty  Desired Qualifications Comprehensive understanding of the players in the gaming, esports, technology and entertainment verticals Experience with product development and innovation; not only do you execute sales but you possess the creativity to design new and compelling products to sell Proven experience in partnerships and/or business development in gaming, esports, sports, content distribution, and/or live entertainment Significant contract negotiation and management experience in a wide variety of regional, international and local deal structures Excellent relationship management, communication, and project management capabilities Excellent writing and presentation building skills Track record of successful partnerships and deals with proven KPIs like high renewal rates Command of a relevant language preferred, but not required (Mandarin, Tagalog, Bahasa Malay/Indonesian)",,Full-time,,,2021_10_10_12_31_Sales_dataFile,,,
Sales Specialist,Koble SG,"Singapore, Singapore",2 weeks ago,Be among the first 25 applicants,"Koble is a young and fast-rising smart home solutions provider.  As our Smart Home Sales Specialist, you will get the unique opportunity to direct the business development of Koble's smart home solution.  Being our smart home sales specialist, you will learn to tailor home automation products according to a homeowner's family needs. Equipped with smart home knowledge, you are the front person communicating to homeowners on how smart home brings unprecedented convenience and comfort to them.  As part of project management, you will be liaising with various stakeholders in the home renovation industry to incorporate smart home solution in a new house.  You will understand how to provide a fuss-free and functional smart home transformation experience and enjoy the fulfilment of giving homeowners unprecedented convenience, comfort, and security.  We are looking for independent, driven and innovative candidates who embrace leadership and are able to articulate effectively.  Be part of a team that transform homes into a fully functional and beneficial smart home! Commitment: Full Time",,Full-time,,,2021_10_10_12_31_Sales_dataFile,,,
Sales Management Trainee,,"Singapore, Singapore",2 weeks ago,Be among the first 25 applicants,"Our company is expanding, and we are looking for driven individuals who are not afraid to step up to new challenges. As a team player, you will gain valuable experience in the industry while learning indispensable skills.  Responsibilities - Increase Brand Awareness for our Clients - To acquire new and retain existing customers  Requirement - Singaporean/PR - Strong Interpersonal & Communication Skills - Immediate Starters Preferred  You should be - Solution Driven - Be committed to improvement & growth - Be committed and responsible  We are excited and looking forward to working with you if you possess the qualities above. No experience is required. One-to-one coaching will be provided!  We regret that only shortlisted candidates will be contacted.",,Full-time,,,2021_10_10_12_31_Sales_dataFile,,,
Sales Trainee,Motion,"Owensboro, KY",4 weeks ago,Be among the first 25 applicants,"Job Description  The Sales Trainee position allows the employee to prepare for a role as an Account (Sales) Representative or a Customer Service (Sales) Representative. The training period is no more than 15 months. During this period, the Sales Trainee shadows account representatives and customer service representatives to gain experience in sales, company product lines, as well as customer base.  Additionally, the Trainee works in the branch's warehouse to become familiar with shipping and receiving, inventory, and delivery functions. The Trainee also participates in various online and satellite class settings that are conducted by the company's Training Department.  These classes include, but are not limited to: product, sales, and leadership training. Motion offers an excellent benefits package that includes options for healthcare coverage, 401(k), tuition reimbursement, vacation, sick, and holiday pay.  Responsibilities Train in all levels of a branch including, but not limited to: inside sales (customer service representative), outside sales (account representative), inventory, delivery, warehouse, and clerical Participate and succeed in company sponsored training classes Develop competent presentation skills Qualifications Bachelor's degree preferably in Industrial Distribution or related field. Customer service oriented Achievement oriented and self-motivated Proactive people skills Possess leadership qualities Effective communication skills Good analytical skills Able to follow through on tasks Organized Moderate computer skills, including communicating internally and externally via email Good driving record required Willing to travel on occasion",Internship,Full-time,Sales and Business Development,"Automotive, Industrial Automation, and Retail",2021_10_09_06_09_Sales_dataFile,,,
Outside Sales/Marketing Representative,"Orbit Energy & Power, LLC","Owings Mills, MD",1 month ago,Be among the first 25 applicants,"ORBIT ENERGY & POWER - FIELD MARKETING  Orbit Energy & Power has an excellent opportunity for a Solar Qualifier/Field Marketing Representative. There is limitless advancement for dedicated employees that excel at their roles, and competitive compensation based on performance.  We will also work with local colleges for a paid internship programs. This is an opportunity to tell your story and save the world at the same time.  In this role you will distribute marketing materials to designated targeted areas, set appointments and inform prospective customers how they can save money and the environment by going solar! You are the front line of bringing clean renewable energy to homeowners!  Requirements: Generate appointments while engaging field marketing. Attend company meetings as required Always have a positive attitude and the ability to learn Provide the proper feedback to the Field Marketing manager in a timely fashion Represent Orbit Energy & Power at all times with the utmost degree of professionalism and expertise Perform other duties or responsibilities as required  Qualifications: Excellent communication skills Desire to be successful Prior outside sales experience preferred Professional and courteous demeanor Self-Motivated Valid Driver's license Must have reliable transportation Lead generation or Field Marketing experience preferred but not required  Benefits offered: Base Pay, Commission, plus Bonuses Access to company training events and meetings Fun annual company events Powered by JazzHR  dgNDBdDPze",Internship,Full-time,Marketing and Sales,"Construction, Marketing and Advertising, and Consumer Services",2021_10_09_06_09_Sales_dataFile,,,
Outside Sales/Marketing Representative,"Orbit Energy & Power, LLC","Owings Mills, MD",1 month ago,Be among the first 25 applicants,"ORBIT ENERGY & POWER - FIELD MARKETING  Orbit Energy & Power has an excellent opportunity for a Solar Qualifier/Field Marketing Representative. There is limitless advancement for dedicated employees that excel at their roles, and competitive compensation based on performance.  We will also work with local colleges for a paid internship programs. This is an opportunity to tell your story and save the world at the same time.  In this role you will distribute marketing materials to designated targeted areas, set appointments and inform prospective customers how they can save money and the environment by going solar! You are the front line of bringing clean renewable energy to homeowners!  Requirements: Generate appointments while engaging field marketing. Attend company meetings as required Always have a positive attitude and the ability to learn Provide the proper feedback to the Field Marketing manager in a timely fashion Represent Orbit Energy & Power at all times with the utmost degree of professionalism and expertise Perform other duties or responsibilities as required  Qualifications: Excellent communication skills Desire to be successful Prior outside sales experience preferred Professional and courteous demeanor Self-Motivated Valid Driver's license Must have reliable transportation Lead generation or Field Marketing experience preferred but not required  Benefits offered: Base Pay, Commission, plus Bonuses Access to company training events and meetings Fun annual company events Powered by JazzHR  rb0QEgEt2S",Internship,Full-time,Marketing and Sales,"Construction, Marketing and Advertising, and Consumer Services",2021_10_09_06_09_Sales_dataFile,,,
Head of Sales South-east Asia,Ingenique Solutions Pte Ltd,"Singapore, Singapore",2 weeks ago,Be among the first 25 applicants,"Work with marketing to identify and strategize new markets, Develop sales plan to maximize sales revenue for assigned markets (primarily Singapore, and other South-east Asian countries), Ensure a healthy pipeline of leads, Provide leadership and coaching to sales team, Ensure renewal of subscriptions, Participate in product demonstrations and events, Develop executive level relationship with customers and associations, Innovate to increase productivity of sales processes, Monitor and manage collection of overdue payments. As you may be communicating with partners from China and Hong Kong, proficiency in Mandarin and Cantonese is essential.  Salary: OTE SGD 130,000 per annum.",,Full-time,,,2021_10_10_12_31_Sales_dataFile,,,
Inside Sales Representative,Record Building Supply,"Oxford, ME",,Be among the first 25 applicants,"We are seeking an Inside Sales Representative to join our team! You will resolve customer questions and offer solutions to drive company revenue.  Responsibilities Present and sell company products and services to new and existing customers Prospect and contact potential customers Reach agreed upon sales targets by the deadline Resolve customer inquiries and complaints Set follow-up appointments to keep customers aware of latest developments Create sales material to present to customers Qualifications Previous experience in sales, customer service, or other related fields Familiarity with CRM platforms Ability to build rapport with clients Strong negotiation skills Deadline and detail-oriented",Entry level,Full-time,Sales and Business Development,Building Materials,2021_10_09_09_30_Sales_dataFile,,,
Sales Representative,Eastman,"Palo Alto, CA",,Be among the first 25 applicants,"Founded in 1920, Eastman is a global specialty materials company that produces a broad range of products found in items people use every day. With the purpose of enhancing the quality of life in a material way, Eastman works with customers to deliver innovative products and solutions while maintaining a commitment to safety and sustainability. The company's innovation-driven growth model takes advantage of world-class technology platforms, deep customer engagement, and differentiated application development to grow its leading positions in attractive end-markets such as transportation, building and construction, and consumables. As a globally inclusive and diverse company, Eastman employs approximately 14,500 people around the world and serves customers in more than 100 countries. The company had 2020 revenues of approximately $8.5 billion and is headquartered in Kingsport, Tennessee, USA. For more information, visit",Entry level,Full-time,Production,Staffing and Recruiting,2021_10_09_01_12_Sales_dataFile,,,
Sales Operations Intern (Remote),Wurl,"Palo Alto, CA",2 months ago,Be among the first 25 applicants,"About Wurl, Inc.  Since 2017, Wurl has been on a mission to make TV better for everyone. Today, Wurl is the world leader in powering streaming TV. Our video distribution and advertising services reach over 250 million connected TVs, delivering hundreds of millions of hours of TV viewing and millions of individually targeted ads. Wurl's innovative, market-leading technologies enable content companies, streamers, and advertising to continually reach new viewers and grow revenue.  Sales Operations Internship (Remote):  We are looking for a Sales Operations Intern who will report to the Business Development Manager within Wurl's growing Business Development team. This internship will directly impact the team's new business strategy, internal sales operations workflow, task automation, and lead management. The Sales Operations Intern will liaise with multiple departments within Wurl such as Channel Operations, Advertising, Product, Marketing, & Finance. This exciting new opportunity will give you a first-hand look into the quickly growing FAST space.  Responsibilities: Work closely with the manager or assigned team member, to complete all allocated tasks. Attend and participate in meetings, workshops, events, and exhibitions. Update documents and sales records. Identify potential weaknesses and offer improvement suggestions. deliver presentations to staff and other stakeholders. Assist in Lead Management distribution for Sales Team. Help centralize KPI's for the Sales Team. Manage Sales Data and pull Sales Reports. Identify ways to optimize internal Sales Process. Complete internship long project and present to management Qualifications: Currently enrolled in an accredited College. Willingness to learn and take on new challenges Ability to solve problems independently. Google Drive & Microsoft Excel (proficient) Experience with Asana and Salesforce (a plus) Strong Communication Skills Physical Requirements: Prolonged periods of sitting at a desk and working on a computer. Must be able to lift up to 15 pounds at times. What We Offer  Wurl provides a competitive compensation and excellent benefits package including medical, dental, vision, life/disability insurance, 4 weeks of paid time off, 10 paid holidays, 401(k), flexible schedules and HSA. We are a fun, creative and collaborative remote work environment, headquartered in Palo Alto, CA. We live our values everyday in how we work with one another and support our clients. Wurl is truly a unique place to learn, create and have a daily impact on millions of people every day.  Our promise to you  Few companies will allow you to thrive like you will at Wurl. You will have the opportunity to collaborate with the industry's brightest minds and most innovative thinkers. You will enjoy ongoing mentorship, and you will understand what we mean by ""human connection."" You will be proud to say you're a part of the company revolutionizing TV.",Internship,Full-time,Sales and Business Development,"Marketing and Advertising, Computer Software, and Internet",2021_10_09_06_09_Sales_dataFile,,,
